datum,productcode,aantal_bedorven,basiseenheid,kostprijs
2025-04-07,BROOD02,18.0,stuk,4.8
2025-04-09,BROOD02,26.0,stuk,6.93
2025-04-16,BROOD02,10.0,stuk,2.67
2025-04-23,BROOD02,2.0,stuk,0.53
2025-04-30,BROOD02,14.0,stuk,3.73
2025-05-07,BROOD02,21.0,stuk,5.6
2025-05-14,BROOD02,2.0,stuk,0.53
2025-06-18,BROOD02,25.0,stuk,6.67
2025-06-25,BROOD02,18.0,stuk,4.8
2025-07-02,BROOD02,44.0,stuk,11.73
2025-07-09,BROOD02,26.0,stuk,6.93
2025-08-06,BROOD02,37.0,stuk,9.87
2025-08-13,BROOD02,42.0,stuk,11.2
2025-08-20,BROOD02,24.0,stuk,6.4
2025-08-27,BROOD02,31.0,stuk,8.27
2025-09-03,BROOD02,7.0,stuk,1.87
2025-09-10,BROOD02,32.0,stuk,8.53
2025-09-17,BROOD02,42.0,stuk,11.2
2025-09-24,BROOD02,45.0,stuk,12.0
2025-10-01,BROOD02,11.0,stuk,2.93
2025-10-06,BROOD02,6.0,stuk,1.6
2025-10-08,BROOD02,23.0,stuk,6.13
2025-10-13,BROOD02,2.0,stuk,0.53
2025-10-15,BROOD02,15.0,stuk,4.0
2025-10-20,BROOD02,7.0,stuk,1.87
2025-10-22,BROOD02,22.0,stuk,5.87
2025-10-29,BROOD02,45.0,stuk,12.0
2025-11-05,BROOD02,16.0,stuk,4.27
2025-11-08,BROOD02,3.0,stuk,0.8
2025-11-12,BROOD02,47.0,stuk,12.53
2025-11-19,BROOD02,8.0,stuk,2.13
2025-11-26,BROOD02,37.0,stuk,9.87
2025-12-03,BROOD02,36.0,stuk,9.6
2025-12-10,BROOD02,25.0,stuk,6.67
2025-12-17,BROOD02,5.0,stuk,1.33
2025-12-22,BROOD02,12.0,stuk,3.2
2025-12-24,BROOD02,34.0,stuk,9.07
2025-12-27,BROOD02,3.0,stuk,0.8
2025-12-31,BROOD02,49.0,stuk,13.07
2026-01-07,BROOD02,30.0,stuk,8.0
2026-01-14,BROOD02,6.0,stuk,1.6
2026-01-17,BROOD02,11.0,stuk,2.93
2026-01-21,BROOD02,18.0,stuk,4.8
2026-01-28,BROOD02,21.0,stuk,5.6
2026-02-04,BROOD02,19.0,stuk,5.07
2026-03-04,BROOD02,15.0,stuk,4.0
2026-03-18,BROOD02,36.0,stuk,9.6
2026-03-25,BROOD02,23.0,stuk,6.13
2026-04-01,BROOD02,22.0,stuk,5.87
2026-04-06,BROOD02,7.0,stuk,1.87
2026-04-08,BROOD02,28.0,stuk,7.47
2026-04-15,BROOD02,43.0,stuk,11.47
2026-04-22,BROOD02,3.0,stuk,0.8
2026-04-29,BROOD02,12.0,stuk,3.2
2026-05-04,BROOD02,9.0,stuk,2.4
2026-05-27,BROOD02,40.0,stuk,10.67
2026-06-24,BROOD02,16.0,stuk,4.27
2026-07-01,BROOD02,11.0,stuk,2.93
2026-07-15,BROOD02,41.0,stuk,10.93
2026-07-29,BROOD02,11.0,stuk,2.93
2026-08-12,BROOD02,24.0,stuk,6.4
2026-08-19,BROOD02,7.0,stuk,1.87
2026-08-26,BROOD02,40.0,stuk,10.67
2023-09-07,VLEES01,67.0,stuk,157.45
2023-09-14,VLEES01,28.0,stuk,65.8
2023-09-21,VLEES01,76.0,stuk,178.6
2023-09-28,VLEES01,42.0,stuk,98.7
2023-10-05,VLEES01,30.0,stuk,70.5
2023-10-12,VLEES01,12.0,stuk,28.2
2023-10-19,VLEES01,17.0,stuk,39.95
2023-11-02,VLEES01,10.0,stuk,23.5
2023-11-09,VLEES01,23.0,stuk,54.05
2023-11-16,VLEES01,16.0,stuk,37.6
2023-11-23,VLEES01,33.0,stuk,77.55
2023-12-07,VLEES01,16.0,stuk,37.6
2023-12-14,VLEES01,4.0,stuk,9.4
2023-12-21,VLEES01,11.0,stuk,25.85
2023-12-28,VLEES01,3.0,stuk,7.05
2024-01-01,VLEES01,1.0,stuk,2.35
2024-01-04,VLEES01,33.0,stuk,77.55
2024-01-18,VLEES01,21.0,stuk,49.35
2024-01-25,VLEES01,9.0,stuk,21.15
2024-02-22,VLEES01,8.0,stuk,18.8
2024-03-28,VLEES01,40.0,stuk,94.0
2024-04-04,VLEES01,32.0,stuk,75.2
2024-04-11,VLEES01,14.0,stuk,32.9
2024-04-25,VLEES01,3.0,stuk,7.05
2024-05-09,VLEES01,8.0,stuk,18.8
2024-05-23,VLEES01,6.0,stuk,14.1
2024-05-30,VLEES01,17.0,stuk,39.95
2024-06-20,VLEES01,10.0,stuk,23.5
2024-07-04,VLEES01,18.0,stuk,42.3
2024-07-18,VLEES01,12.0,stuk,28.2
2024-07-25,VLEES01,8.0,stuk,18.8
2024-08-01,VLEES01,25.0,stuk,58.75
2024-08-08,VLEES01,11.0,stuk,25.85
2024-08-15,VLEES01,36.0,stuk,84.6
2024-08-22,VLEES01,53.0,stuk,124.55
2024-08-29,VLEES01,20.0,stuk,47.0
2024-09-05,VLEES01,31.0,stuk,72.85
2024-09-12,VLEES01,2.0,stuk,4.7
2024-09-19,VLEES01,19.0,stuk,44.65
2024-09-26,VLEES01,34.0,stuk,79.9
2024-10-03,VLEES01,23.0,stuk,54.05
2024-10-17,VLEES01,35.0,stuk,82.25
2024-10-24,VLEES01,22.0,stuk,51.7
2024-11-07,VLEES01,23.0,stuk,54.05
2024-11-14,VLEES01,3.0,stuk,7.05
2024-11-18,VLEES01,8.0,stuk,18.8
2024-11-21,VLEES01,21.0,stuk,49.35
2024-12-05,VLEES01,35.0,stuk,82.25
2025-01-02,VLEES01,48.0,stuk,112.8
2025-01-09,VLEES01,33.0,stuk,77.55
2025-01-20,VLEES01,10.0,stuk,23.5
2025-01-23,VLEES01,14.0,stuk,32.9
2025-01-30,VLEES01,15.0,stuk,35.25
2025-02-27,VLEES01,9.0,stuk,21.15
2025-03-06,VLEES01,12.0,stuk,28.2
2025-03-13,VLEES01,17.0,stuk,39.95
2025-04-03,VLEES01,1.0,stuk,2.35
2025-04-10,VLEES01,26.0,stuk,61.1
2025-04-17,VLEES01,33.0,stuk,77.55
2025-05-01,VLEES01,2.0,stuk,4.7
2025-05-08,VLEES01,3.0,stuk,7.05
2025-05-22,VLEES01,23.0,stuk,54.05
2025-06-19,VLEES01,11.0,stuk,25.85
2025-06-26,VLEES01,7.0,stuk,16.45
2025-07-03,VLEES01,29.0,stuk,68.15
2025-08-07,VLEES01,69.0,stuk,162.15
2025-08-14,VLEES01,36.0,stuk,84.6
2025-08-21,VLEES01,25.0,stuk,58.75
2025-08-28,VLEES01,41.0,stuk,96.35
2025-09-04,VLEES01,29.0,stuk,68.15
2025-09-11,VLEES01,55.0,stuk,129.25
2025-09-18,VLEES01,22.0,stuk,51.7
2025-09-25,VLEES01,43.0,stuk,101.05
2025-10-02,VLEES01,17.0,stuk,39.95
2025-10-09,VLEES01,27.0,stuk,63.45
2025-10-16,VLEES01,12.0,stuk,28.2
2025-10-23,VLEES01,29.0,stuk,68.15
2025-10-30,VLEES01,19.0,stuk,44.65
2025-11-06,VLEES01,8.0,stuk,18.8
2025-11-10,VLEES01,8.0,stuk,18.8
2025-11-13,VLEES01,13.0,stuk,30.55
2025-11-20,VLEES01,11.0,stuk,25.85
2025-11-27,VLEES01,28.0,stuk,65.8
2025-12-04,VLEES01,29.0,stuk,68.15
2025-12-25,VLEES01,36.0,stuk,84.6
2026-01-01,VLEES01,46.0,stuk,108.1
2026-01-08,VLEES01,33.0,stuk,77.55
2026-01-15,VLEES01,17.0,stuk,39.95
2026-01-22,VLEES01,25.0,stuk,58.75
2026-01-29,VLEES01,17.0,stuk,39.95
2026-02-12,VLEES01,2.0,stuk,4.7
2026-02-26,VLEES01,2.0,stuk,4.7
2026-03-05,VLEES01,12.0,stuk,28.2
2026-03-12,VLEES01,14.0,stuk,32.9
2026-03-19,VLEES01,13.0,stuk,30.55
2026-04-02,VLEES01,18.0,stuk,42.3
2026-04-09,VLEES01,10.0,stuk,23.5
2026-04-16,VLEES01,25.0,stuk,58.75
2026-04-30,VLEES01,28.0,stuk,65.8
2026-05-14,VLEES01,10.0,stuk,23.5
2026-05-28,VLEES01,15.0,stuk,35.25
2026-07-16,VLEES01,63.0,stuk,148.05
2026-07-30,VLEES01,2.0,stuk,4.7
2026-08-13,VLEES01,59.0,stuk,138.65
2026-08-20,VLEES01,34.0,stuk,79.9
2026-08-27,VLEES01,11.0,stuk,25.85
