leverdatum,productcode,product,leverancier,aantal,besteleenheid,bedrag
2025-12-01,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-12-08,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-12-11,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-12-15,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-12-18,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-12-22,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-12-25,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-12-29,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-01-01,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-01-08,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-01-12,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-01-19,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-01-22,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-01-29,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-02-02,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-02-05,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-02-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-02-16,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-02-19,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-02-23,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-02-26,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-03-02,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-03-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-03-12,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-03-16,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-03-19,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-03-23,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-03-26,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-03-30,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-04-02,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-04-06,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-04-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-04-13,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-04-16,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-04-20,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-04-23,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-04-27,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-04-30,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-05-04,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-05-07,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-05-11,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-05-14,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-05-18,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-05-21,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-05-25,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-05-28,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-06-01,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-06-04,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-06-08,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-06-11,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-06-15,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-06-18,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-06-22,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-06-25,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-06-29,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-07-02,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-07-06,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-07-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-07-13,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-07-16,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-07-20,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-07-23,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-07-27,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-07-30,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-08-03,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-08-06,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-08-10,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-08-13,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-08-17,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-08-20,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-08-24,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2026-08-27,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2026-08-31,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-09-04,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,3,krat,115.2
2023-09-07,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-09-11,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,4,krat,153.6
2023-09-14,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2023-09-18,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2023-09-21,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-09-25,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-09-28,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2023-10-02,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-10-05,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-10-09,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-10-12,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,3,krat,115.2
2023-10-16,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2023-10-19,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2023-10-23,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-10-26,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-10-30,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-11-02,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,3,krat,115.2
2023-11-06,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-11-09,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-11-13,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-11-16,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-11-20,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2023-11-23,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-11-27,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-11-30,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2023-12-04,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2023-12-07,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-12-14,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-12-18,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2023-12-21,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2023-12-25,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2023-12-28,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-01-01,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-01-04,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2024-01-08,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-01-11,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2024-01-18,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-01-22,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-01-25,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2024-01-29,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2024-02-01,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2024-02-05,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-02-08,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-02-12,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-02-15,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-02-19,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-02-22,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2024-02-26,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2024-02-29,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-03-04,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2024-03-07,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
2024-03-11,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2024-03-14,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,2,krat,76.8
2024-03-18,BIER02,"Speciaalbier krat 24x0,33",Brouwerij Noord,1,krat,38.4
