datum,productcode,theoretisch_verbruik
2023-09-10,BIER01,15.5
2023-09-10,BIER02,13.0
2023-09-10,BROOD01,218.0
2023-09-10,BROOD02,37.0
2023-09-10,FRIS01,23.0
2023-09-10,FRIS02,30.0
2023-09-10,FRIS03,8.5
2023-09-10,KOF01,0.33
2023-09-10,VLEES01,37.0
2023-09-10,WIJN01,3.0
2023-09-10,WIJN02,3.45
2023-09-10,WIJN03,0.45
2023-09-10,ZUI01,4.35
2023-09-11,AARD01,4.34
2023-09-11,BIER01,10.25
2023-09-11,BIER02,7.0
2023-09-11,BROOD01,96.0
2023-09-11,BROOD02,7.0
2023-09-11,FRIS01,15.0
2023-09-11,FRIS02,17.0
2023-09-11,FRIS03,2.0
2023-09-11,KOF01,0.172
2023-09-11,VLEES01,7.0
2023-09-11,WIJN01,1.2
2023-09-11,WIJN02,1.35
2023-09-11,WIJN03,0.15
2023-09-11,ZUI01,2.1
2023-09-12,AARD01,7.0
2023-09-12,BIER01,6.25
2023-09-12,BIER02,6.0
2023-09-12,BROOD01,114.0
2023-09-12,BROOD02,27.0
2023-09-12,FRIS01,13.0
2023-09-12,FRIS02,9.0
2023-09-12,FRIS03,4.5
2023-09-12,KOF01,0.3
2023-09-12,VLEES01,27.0
2023-09-12,WIJN01,1.35
2023-09-12,WIJN02,2.55
2023-09-12,WIJN03,0.75
2023-09-12,ZUI01,2.55
2023-09-13,AARD01,7.84
2023-09-13,BIER01,13.75
2023-09-13,BIER02,16.0
2023-09-13,BROOD01,174.0
2023-09-13,BROOD02,18.0
2023-09-13,FRIS01,18.0
2023-09-13,FRIS02,8.0
2023-09-13,FRIS03,4.25
2023-09-13,KOF01,0.277
2023-09-13,VLEES01,18.0
2023-09-13,WIJN01,2.1
2023-09-13,WIJN02,3.3
2023-09-13,WIJN03,1.2
2023-09-13,ZUI01,3.6
2023-09-14,AARD01,6.72
2023-09-14,BIER01,11.0
2023-09-14,BIER02,9.0
2023-09-14,BROOD01,180.0
2023-09-14,BROOD02,16.0
2023-09-14,FRIS01,9.0
2023-09-14,FRIS02,24.0
2023-09-14,FRIS03,2.75
2023-09-14,KOF01,0.248
2023-09-14,VLEES01,16.0
2023-09-14,WIJN01,1.8
2023-09-14,WIJN02,2.25
2023-09-14,WIJN03,1.2
2023-09-14,ZUI01,1.8
2023-09-15,AARD01,17.5
2023-09-15,BIER01,36.25
2023-09-15,BIER02,25.0
2023-09-15,BROOD01,145.0
2023-09-15,BROOD02,28.0
2023-09-15,FRIS01,28.0
2023-09-15,FRIS02,28.0
2023-09-15,FRIS03,4.5
2023-09-15,KOF01,0.345
2023-09-15,VLEES01,28.0
2023-09-15,WIJN01,5.1
2023-09-15,WIJN02,2.4
2023-09-15,WIJN03,2.55
2023-09-15,ZUI01,4.5
2023-09-16,AARD01,10.64
2023-09-16,BIER01,22.0
2023-09-16,BIER02,19.0
2023-09-16,BROOD01,98.0
2023-09-16,BROOD02,18.0
2023-09-16,FRIS01,25.0
2023-09-16,FRIS02,15.0
2023-09-16,FRIS03,3.25
2023-09-16,KOF01,0.397
2023-09-16,VLEES01,18.0
2023-09-16,WIJN01,3.45
2023-09-16,WIJN02,2.55
2023-09-16,WIJN03,0.6
2023-09-16,ZUI01,3.45
2023-09-17,AARD01,6.72
2023-09-17,BIER01,9.25
2023-09-17,BIER02,6.0
2023-09-17,BROOD01,201.0
2023-09-17,BROOD02,15.0
2023-09-17,FRIS01,22.0
2023-09-17,FRIS02,20.0
2023-09-17,FRIS03,5.75
2023-09-17,KOF01,0.337
2023-09-17,VLEES01,15.0
2023-09-17,WIJN01,1.8
2023-09-17,WIJN02,1.8
2023-09-17,WIJN03,0.45
2023-09-17,ZUI01,3.3
2023-09-18,AARD01,4.62
2023-09-18,BIER01,7.0
2023-09-18,BIER02,9.0
2023-09-18,BROOD01,137.0
2023-09-18,BROOD02,8.0
2023-09-18,FRIS01,16.0
2023-09-18,FRIS02,20.0
2023-09-18,FRIS03,2.0
2023-09-18,KOF01,0.202
2023-09-18,VLEES01,8.0
2023-09-18,WIJN01,2.85
2023-09-18,WIJN02,1.5
2023-09-18,WIJN03,0.6
2023-09-18,ZUI01,2.25
2023-09-19,AARD01,2.24
2023-09-19,BIER01,5.5
2023-09-19,BIER02,6.0
2023-09-19,BROOD01,53.0
2023-09-19,BROOD02,9.0
2023-09-19,FRIS01,9.0
2023-09-19,FRIS02,12.0
2023-09-19,FRIS03,1.75
2023-09-19,KOF01,0.15
2023-09-19,VLEES01,9.0
2023-09-19,WIJN01,0.3
2023-09-19,WIJN02,0.9
2023-09-19,WIJN03,0.3
2023-09-19,ZUI01,1.8
2023-09-20,AARD01,3.92
2023-09-20,BIER01,9.75
2023-09-20,BIER02,3.0
2023-09-20,BROOD01,128.0
2023-09-20,BROOD02,8.0
2023-09-20,FRIS01,9.0
2023-09-20,FRIS02,15.0
2023-09-20,FRIS03,1.75
2023-09-20,KOF01,0.158
2023-09-20,VLEES01,8.0
2023-09-20,WIJN01,2.1
2023-09-20,WIJN02,1.65
2023-09-20,WIJN03,0.3
2023-09-20,ZUI01,1.8
2023-09-21,AARD01,6.86
2023-09-21,BIER01,8.75
2023-09-21,BIER02,10.0
2023-09-21,BROOD01,121.0
2023-09-21,BROOD02,18.0
2023-09-21,FRIS01,10.0
2023-09-21,FRIS02,15.0
2023-09-21,FRIS03,3.5
2023-09-21,KOF01,0.218
2023-09-21,VLEES01,18.0
2023-09-21,WIJN01,1.5
2023-09-21,WIJN02,0.9
2023-09-21,ZUI01,1.65
2023-09-22,AARD01,12.18
2023-09-22,BIER01,28.0
2023-09-22,BIER02,23.0
2023-09-22,BROOD01,169.0
2023-09-22,BROOD02,30.0
2023-09-22,FRIS01,37.0
2023-09-22,FRIS02,27.0
2023-09-22,FRIS03,9.0
2023-09-22,KOF01,0.502
2023-09-22,VLEES01,30.0
2023-09-22,WIJN01,6.3
2023-09-22,WIJN02,3.9
2023-09-22,WIJN03,2.25
2023-09-22,ZUI01,4.65
2023-09-23,AARD01,11.76
2023-09-23,BIER01,27.5
2023-09-23,BIER02,19.0
2023-09-23,BROOD01,188.0
2023-09-23,BROOD02,25.0
2023-09-23,FRIS01,15.0
2023-09-23,FRIS02,19.0
2023-09-23,FRIS03,3.25
2023-09-23,KOF01,0.225
2023-09-23,VLEES01,25.0
2023-09-23,WIJN01,4.05
2023-09-23,WIJN02,4.35
2023-09-23,WIJN03,1.2
2023-09-23,ZUI01,1.65
2023-09-24,AARD01,4.06
2023-09-24,BIER01,7.75
2023-09-24,BIER02,10.0
2023-09-24,BROOD01,216.0
2023-09-24,BROOD02,7.0
2023-09-24,FRIS01,11.0
2023-09-24,FRIS02,11.0
2023-09-24,FRIS03,2.0
2023-09-24,KOF01,0.33
2023-09-24,VLEES01,7.0
2023-09-24,WIJN01,2.1
2023-09-24,WIJN02,1.35
2023-09-24,WIJN03,0.6
2023-09-24,ZUI01,4.35
2023-09-25,AARD01,4.2
2023-09-25,BIER01,7.0
2023-09-25,BIER02,13.0
2023-09-25,BROOD01,135.0
2023-09-25,BROOD02,7.0
2023-09-25,FRIS01,10.0
2023-09-25,FRIS02,18.0
2023-09-25,FRIS03,3.5
2023-09-25,KOF01,0.128
2023-09-25,VLEES01,7.0
2023-09-25,WIJN01,0.6
2023-09-25,WIJN02,1.05
2023-09-25,WIJN03,0.6
2023-09-25,ZUI01,1.8
2023-09-26,AARD01,5.32
2023-09-26,BIER01,12.0
2023-09-26,BIER02,4.0
2023-09-26,BROOD01,160.0
2023-09-26,BROOD02,6.0
2023-09-26,FRIS01,12.0
2023-09-26,FRIS02,13.0
2023-09-26,FRIS03,1.0
2023-09-26,KOF01,0.21
2023-09-26,VLEES01,6.0
2023-09-26,WIJN01,1.2
2023-09-26,WIJN02,1.95
2023-09-26,WIJN03,0.6
2023-09-26,ZUI01,2.1
2023-09-27,AARD01,5.32
2023-09-27,BIER01,10.75
2023-09-27,BIER02,5.0
2023-09-27,BROOD01,79.0
2023-09-27,BROOD02,16.0
2023-09-27,FRIS01,11.0
2023-09-27,FRIS02,5.0
2023-09-27,FRIS03,3.0
2023-09-27,KOF01,0.09
2023-09-27,VLEES01,16.0
2023-09-27,WIJN01,1.05
2023-09-27,WIJN02,1.8
2023-09-27,WIJN03,0.6
2023-09-27,ZUI01,1.2
2023-09-28,AARD01,5.88
2023-09-28,BIER01,11.0
2023-09-28,BIER02,7.0
2023-09-28,BROOD01,110.0
2023-09-28,BROOD02,17.0
2023-09-28,FRIS01,24.0
2023-09-28,FRIS02,15.0
2023-09-28,FRIS03,5.75
2023-09-28,KOF01,0.18
2023-09-28,VLEES01,17.0
2023-09-28,WIJN01,1.05
2023-09-28,WIJN02,0.9
2023-09-28,WIJN03,0.3
2023-09-28,ZUI01,1.95
2023-09-29,AARD01,16.8
2023-09-29,BIER01,27.25
2023-09-29,BIER02,32.0
2023-09-29,BROOD01,184.0
2023-09-29,BROOD02,36.0
2023-09-29,FRIS01,27.0
2023-09-29,FRIS02,35.0
2023-09-29,FRIS03,5.5
2023-09-29,KOF01,0.33
2023-09-29,VLEES01,36.0
2023-09-29,WIJN01,6.75
2023-09-29,WIJN02,5.25
2023-09-29,WIJN03,3.0
2023-09-29,ZUI01,2.55
2023-09-30,AARD01,8.96
2023-09-30,BIER01,36.5
2023-09-30,BIER02,30.0
2023-09-30,BROOD01,248.0
2023-09-30,BROOD02,27.0
2023-09-30,FRIS01,25.0
2023-09-30,FRIS02,41.0
2023-09-30,FRIS03,6.5
2023-09-30,KOF01,0.33
2023-09-30,VLEES01,27.0
2023-09-30,WIJN01,4.95
2023-09-30,WIJN02,5.25
2023-09-30,WIJN03,1.05
2023-09-30,ZUI01,3.0
2023-10-01,AARD01,8.4
2023-10-01,BIER01,14.0
2023-10-01,BIER02,7.0
2023-10-01,BROOD01,130.0
2023-10-01,BROOD02,18.0
2023-10-01,FRIS01,19.0
2023-10-01,FRIS02,24.0
2023-10-01,FRIS03,5.0
2023-10-01,KOF01,0.375
2023-10-01,VLEES01,18.0
2023-10-01,WIJN01,3.3
2023-10-01,WIJN02,1.05
2023-10-01,WIJN03,0.45
2023-10-01,ZUI01,3.3
2023-10-02,AARD01,3.92
2023-10-02,BIER01,5.5
2023-10-02,BIER02,9.0
2023-10-02,BROOD01,70.0
2023-10-02,BROOD02,8.0
2023-10-02,FRIS01,3.0
2023-10-02,FRIS02,5.0
2023-10-02,FRIS03,1.0
2023-10-02,KOF01,0.105
2023-10-02,VLEES01,8.0
2023-10-02,WIJN01,1.65
2023-10-02,WIJN02,0.45
2023-10-02,WIJN03,0.15
2023-10-02,ZUI01,0.9
2023-10-03,AARD01,3.78
2023-10-03,BIER01,4.25
2023-10-03,BIER02,7.0
2023-10-03,BROOD01,75.0
2023-10-03,BROOD02,7.0
2023-10-03,FRIS01,5.0
2023-10-03,FRIS02,12.0
2023-10-03,FRIS03,3.0
2023-10-03,KOF01,0.285
2023-10-03,VLEES01,7.0
2023-10-03,WIJN01,1.2
2023-10-03,WIJN02,1.65
2023-10-03,WIJN03,0.45
2023-10-03,ZUI01,2.25
2023-10-04,AARD01,7.14
2023-10-04,BIER01,19.75
2023-10-04,BIER02,13.0
2023-10-04,BROOD01,134.0
2023-10-04,BROOD02,14.0
2023-10-04,FRIS01,14.0
2023-10-04,FRIS02,27.0
2023-10-04,FRIS03,1.5
2023-10-04,KOF01,0.232
2023-10-04,VLEES01,14.0
2023-10-04,WIJN01,2.55
2023-10-04,WIJN02,1.5
2023-10-04,WIJN03,1.05
2023-10-04,ZUI01,1.8
2023-10-05,AARD01,7.0
2023-10-05,BIER01,14.25
2023-10-05,BIER02,11.0
2023-10-05,BROOD01,116.0
2023-10-05,BROOD02,16.0
2023-10-05,FRIS01,8.0
2023-10-05,FRIS02,11.0
2023-10-05,FRIS03,2.25
2023-10-05,KOF01,0.292
2023-10-05,VLEES01,16.0
2023-10-05,WIJN01,2.4
2023-10-05,WIJN02,2.25
2023-10-05,WIJN03,1.2
2023-10-05,ZUI01,3.3
2023-10-06,AARD01,9.94
2023-10-06,BIER01,21.0
2023-10-06,BIER02,15.0
2023-10-06,BROOD01,141.0
2023-10-06,BROOD02,21.0
2023-10-06,FRIS01,21.0
2023-10-06,FRIS02,19.0
2023-10-06,FRIS03,3.5
2023-10-06,KOF01,0.262
2023-10-06,VLEES01,21.0
2023-10-06,WIJN01,4.35
2023-10-06,WIJN02,3.0
2023-10-06,WIJN03,1.35
2023-10-06,ZUI01,2.25
2023-10-07,AARD01,14.42
2023-10-07,BIER01,44.5
2023-10-07,BIER02,31.0
2023-10-07,BROOD01,202.0
2023-10-07,BROOD02,33.0
2023-10-07,FRIS01,46.0
2023-10-07,FRIS02,41.0
2023-10-07,FRIS03,6.75
2023-10-07,KOF01,0.54
2023-10-07,VLEES01,33.0
2023-10-07,WIJN01,5.1
2023-10-07,WIJN02,5.85
2023-10-07,WIJN03,2.1
2023-10-07,ZUI01,5.55
2023-10-08,AARD01,7.42
2023-10-08,BIER01,9.75
2023-10-08,BIER02,8.0
2023-10-08,BROOD01,168.0
2023-10-08,BROOD02,22.0
2023-10-08,FRIS01,16.0
2023-10-08,FRIS02,21.0
2023-10-08,FRIS03,5.0
2023-10-08,KOF01,0.36
2023-10-08,VLEES01,22.0
2023-10-08,WIJN01,2.7
2023-10-08,WIJN02,2.7
2023-10-08,WIJN03,0.75
2023-10-08,ZUI01,4.05
2023-10-09,AARD01,5.46
2023-10-09,BIER01,5.75
2023-10-09,BIER02,3.0
2023-10-09,BROOD01,41.0
2023-10-09,BROOD02,10.0
2023-10-09,FRIS01,6.0
2023-10-09,FRIS02,12.0
2023-10-09,FRIS03,1.25
2023-10-09,KOF01,0.202
2023-10-09,VLEES01,10.0
2023-10-09,WIJN01,0.75
2023-10-09,WIJN02,0.9
2023-10-09,WIJN03,0.75
2023-10-09,ZUI01,1.65
2023-10-10,AARD01,7.42
2023-10-10,BIER01,9.75
2023-10-10,BIER02,7.0
2023-10-10,BROOD01,121.0
2023-10-10,BROOD02,18.0
2023-10-10,FRIS01,21.0
2023-10-10,FRIS02,12.0
2023-10-10,FRIS03,4.75
2023-10-10,KOF01,0.255
2023-10-10,VLEES01,18.0
2023-10-10,WIJN01,3.15
2023-10-10,WIJN02,0.9
2023-10-10,WIJN03,0.6
2023-10-10,ZUI01,3.3
2023-10-11,AARD01,4.62
2023-10-11,BIER01,10.25
2023-10-11,BIER02,12.0
2023-10-11,BROOD01,108.0
2023-10-11,BROOD02,12.0
2023-10-11,FRIS01,13.0
2023-10-11,FRIS02,18.0
2023-10-11,FRIS03,2.5
2023-10-11,KOF01,0.195
2023-10-11,VLEES01,12.0
2023-10-11,WIJN01,2.25
2023-10-11,WIJN02,2.4
2023-10-11,WIJN03,0.45
2023-10-11,ZUI01,1.95
2023-10-12,AARD01,5.88
2023-10-12,BIER01,15.5
2023-10-12,BIER02,16.0
2023-10-12,BROOD01,124.0
2023-10-12,BROOD02,13.0
2023-10-12,FRIS01,11.0
2023-10-12,FRIS02,16.0
2023-10-12,FRIS03,3.5
2023-10-12,KOF01,0.18
2023-10-12,VLEES01,13.0
2023-10-12,WIJN01,3.45
2023-10-12,WIJN02,2.55
2023-10-12,WIJN03,1.05
2023-10-12,ZUI01,1.05
2023-10-13,AARD01,9.1
2023-10-13,BIER01,21.0
2023-10-13,BIER02,21.0
2023-10-13,BROOD01,135.0
2023-10-13,BROOD02,23.0
2023-10-13,FRIS01,21.0
2023-10-13,FRIS02,18.0
2023-10-13,FRIS03,5.0
2023-10-13,KOF01,0.255
2023-10-13,VLEES01,23.0
2023-10-13,WIJN01,3.3
2023-10-13,WIJN02,4.65
2023-10-13,WIJN03,2.25
2023-10-13,ZUI01,1.8
2023-10-14,AARD01,10.92
2023-10-14,BIER01,27.0
2023-10-14,BIER02,27.0
2023-10-14,BROOD01,176.0
2023-10-14,BROOD02,16.0
2023-10-14,FRIS01,27.0
2023-10-14,FRIS02,26.0
2023-10-14,FRIS03,6.75
2023-10-14,KOF01,0.465
2023-10-14,VLEES01,16.0
2023-10-14,WIJN01,3.75
2023-10-14,WIJN02,3.6
2023-10-14,WIJN03,2.1
2023-10-14,ZUI01,4.35
2023-10-15,AARD01,6.02
2023-10-15,BIER01,18.5
2023-10-15,BIER02,10.0
2023-10-15,BROOD01,199.0
2023-10-15,BROOD02,11.0
2023-10-15,FRIS01,21.0
2023-10-15,FRIS02,34.0
2023-10-15,FRIS03,6.5
2023-10-15,KOF01,0.42
2023-10-15,VLEES01,11.0
2023-10-15,WIJN01,1.05
2023-10-15,WIJN02,1.35
2023-10-15,WIJN03,0.45
2023-10-15,ZUI01,4.95
2023-10-16,AARD01,2.52
2023-10-16,BIER01,5.5
2023-10-16,BIER02,7.0
2023-10-16,BROOD01,48.0
2023-10-16,BROOD02,6.0
2023-10-16,FRIS01,12.0
2023-10-16,FRIS02,6.0
2023-10-16,FRIS03,2.5
2023-10-16,KOF01,0.142
2023-10-16,VLEES01,6.0
2023-10-16,WIJN01,2.1
2023-10-16,WIJN02,1.5
2023-10-16,WIJN03,0.3
2023-10-16,ZUI01,1.8
2023-10-17,AARD01,6.16
2023-10-17,BIER01,12.5
2023-10-17,BIER02,8.0
2023-10-17,BROOD01,58.0
2023-10-17,BROOD02,10.0
2023-10-17,FRIS01,6.0
2023-10-17,FRIS02,15.0
2023-10-17,FRIS03,1.75
2023-10-17,KOF01,0.24
2023-10-17,VLEES01,10.0
2023-10-17,WIJN01,1.65
2023-10-17,WIJN02,0.45
2023-10-17,WIJN03,0.15
2023-10-17,ZUI01,1.8
2023-10-18,AARD01,5.74
2023-10-18,BIER01,9.25
2023-10-18,BIER02,4.0
2023-10-18,BROOD01,139.0
2023-10-18,BROOD02,15.0
2023-10-18,FRIS01,14.0
2023-10-18,FRIS02,8.0
2023-10-18,FRIS03,2.5
2023-10-18,KOF01,0.33
2023-10-18,VLEES01,15.0
2023-10-18,WIJN01,2.7
2023-10-18,WIJN02,1.65
2023-10-18,WIJN03,1.5
2023-10-18,ZUI01,4.05
2023-10-19,AARD01,8.54
2023-10-19,BIER01,12.0
2023-10-19,BIER02,16.0
2023-10-19,BROOD01,86.0
2023-10-19,BROOD02,22.0
2023-10-19,FRIS01,12.0
2023-10-19,FRIS02,18.0
2023-10-19,FRIS03,2.5
2023-10-19,KOF01,0.225
2023-10-19,VLEES01,22.0
2023-10-19,WIJN01,2.25
2023-10-19,WIJN02,1.95
2023-10-19,WIJN03,0.75
2023-10-19,ZUI01,2.85
2023-10-20,AARD01,9.24
2023-10-20,BIER01,33.75
2023-10-20,BIER02,20.0
2023-10-20,BROOD01,241.0
2023-10-20,BROOD02,26.0
2023-10-20,FRIS01,30.0
2023-10-20,FRIS02,24.0
2023-10-20,FRIS03,6.0
2023-10-20,KOF01,0.442
2023-10-20,VLEES01,26.0
2023-10-20,WIJN01,3.9
2023-10-20,WIJN02,2.4
2023-10-20,WIJN03,1.8
2023-10-20,ZUI01,4.95
2023-10-21,AARD01,11.2
2023-10-21,BIER01,26.0
2023-10-21,BIER02,23.0
2023-10-21,BROOD01,131.0
2023-10-21,BROOD02,29.0
2023-10-21,FRIS01,24.0
2023-10-21,FRIS02,25.0
2023-10-21,FRIS03,4.75
2023-10-21,KOF01,0.232
2023-10-21,VLEES01,29.0
2023-10-21,WIJN01,3.75
2023-10-21,WIJN02,4.05
2023-10-21,WIJN03,1.2
2023-10-21,ZUI01,1.5
2023-10-22,AARD01,7.0
2023-10-22,BIER01,12.5
2023-10-22,BIER02,6.0
2023-10-22,BROOD01,148.0
2023-10-22,BROOD02,16.0
2023-10-22,FRIS01,19.0
2023-10-22,FRIS02,11.0
2023-10-22,FRIS03,3.25
2023-10-22,KOF01,0.27
2023-10-22,VLEES01,16.0
2023-10-22,WIJN01,1.65
2023-10-22,WIJN02,1.05
2023-10-22,WIJN03,1.05
2023-10-22,ZUI01,2.25
2023-10-23,AARD01,4.76
2023-10-23,BIER01,8.5
2023-10-23,BIER02,2.0
2023-10-23,BROOD01,108.0
2023-10-23,BROOD02,14.0
2023-10-23,FRIS01,9.0
2023-10-23,FRIS02,17.0
2023-10-23,FRIS03,3.25
2023-10-23,KOF01,0.082
2023-10-23,VLEES01,14.0
2023-10-23,WIJN01,1.65
2023-10-23,WIJN02,1.95
2023-10-23,WIJN03,1.35
2023-10-23,ZUI01,0.75
2023-10-24,AARD01,6.72
2023-10-24,BIER01,10.75
2023-10-24,BIER02,5.0
2023-10-24,BROOD01,118.0
2023-10-24,BROOD02,11.0
2023-10-24,FRIS01,20.0
2023-10-24,FRIS02,9.0
2023-10-24,FRIS03,7.5
2023-10-24,KOF01,0.3
2023-10-24,VLEES01,11.0
2023-10-24,WIJN01,2.25
2023-10-24,WIJN02,2.1
2023-10-24,WIJN03,0.75
2023-10-24,ZUI01,3.0
2023-10-25,AARD01,7.28
2023-10-25,BIER01,12.75
2023-10-25,BIER02,15.0
2023-10-25,BROOD01,135.0
2023-10-25,BROOD02,15.0
2023-10-25,FRIS01,12.0
2023-10-25,FRIS02,21.0
2023-10-25,FRIS03,2.25
2023-10-25,KOF01,0.337
2023-10-25,VLEES01,15.0
2023-10-25,WIJN01,1.8
2023-10-25,WIJN02,3.45
2023-10-25,WIJN03,0.6
2023-10-25,ZUI01,3.3
2023-10-26,AARD01,6.16
2023-10-26,BIER01,11.0
2023-10-26,BIER02,4.0
2023-10-26,BROOD01,168.0
2023-10-26,BROOD02,18.0
2023-10-26,FRIS01,19.0
2023-10-26,FRIS02,10.0
2023-10-26,FRIS03,3.25
2023-10-26,KOF01,0.397
2023-10-26,VLEES01,18.0
2023-10-26,WIJN01,1.8
2023-10-26,WIJN02,0.9
2023-10-26,WIJN03,0.75
2023-10-26,ZUI01,4.5
2023-10-27,AARD01,8.96
2023-10-27,BIER01,19.75
2023-10-27,BIER02,26.0
2023-10-27,BROOD01,109.0
2023-10-27,BROOD02,23.0
2023-10-27,FRIS01,32.0
2023-10-27,FRIS02,30.0
2023-10-27,FRIS03,4.0
2023-10-27,KOF01,0.202
2023-10-27,VLEES01,23.0
2023-10-27,WIJN01,5.25
2023-10-27,WIJN02,2.4
2023-10-27,WIJN03,1.35
2023-10-27,ZUI01,1.8
2023-10-28,AARD01,9.66
2023-10-28,BIER01,24.75
2023-10-28,BIER02,26.0
2023-10-28,BROOD01,122.0
2023-10-28,BROOD02,19.0
2023-10-28,FRIS01,21.0
2023-10-28,FRIS02,21.0
2023-10-28,FRIS03,3.5
2023-10-28,KOF01,0.352
2023-10-28,VLEES01,19.0
2023-10-28,WIJN01,3.9
2023-10-28,WIJN02,4.5
2023-10-28,WIJN03,2.25
2023-10-28,ZUI01,4.8
2023-10-29,AARD01,6.3
2023-10-29,BIER01,14.25
2023-10-29,BIER02,15.0
2023-10-29,BROOD01,176.0
2023-10-29,BROOD02,14.0
2023-10-29,FRIS01,10.0
2023-10-29,FRIS02,9.0
2023-10-29,FRIS03,5.0
2023-10-29,KOF01,0.262
2023-10-29,VLEES01,14.0
2023-10-29,WIJN01,1.5
2023-10-29,WIJN02,1.8
2023-10-29,WIJN03,2.1
2023-10-29,ZUI01,2.4
2023-10-30,AARD01,2.66
2023-10-30,BIER01,8.5
2023-10-30,BIER02,10.0
2023-10-30,BROOD01,107.0
2023-10-30,BROOD02,6.0
2023-10-30,FRIS01,7.0
2023-10-30,FRIS02,6.0
2023-10-30,FRIS03,1.75
2023-10-30,KOF01,0.15
2023-10-30,VLEES01,6.0
