datum,weekdag,omzet,aantal_orders,ingeroosterde_uren,benodigde_uren_norm,loonkosten,omzet_per_uur,temp_c,neerslag_mm,zon_index,event
2023-11-02,Thursday,4079.5,102,40.8,37.9,685.44,99.99,8.4,0.0,0.38,
2023-11-03,Friday,3634.0,137,51.3,33.8,861.84,70.84,4.1,2.5,0.18,
2023-11-04,Saturday,4347.4,143,51.8,40.4,870.24,83.93,5.9,0.0,0.41,
2023-11-05,Sunday,2879.2,116,40.5,26.8,680.4,71.09,7.0,1.1,0.33,
2023-11-06,Monday,2094.7,74,23.1,19.5,388.08,90.68,10.3,0.0,0.58,
2023-11-07,Tuesday,2235.3,77,31.5,20.8,529.2,70.96,11.0,0.0,0.42,
2023-11-08,Wednesday,2878.3,94,32.4,26.7,544.32,88.84,3.0,0.0,0.34,
2023-11-09,Thursday,2274.4,79,37.8,21.1,635.04,60.17,4.5,0.0,0.48,
2023-11-10,Friday,3474.3,123,44.0,32.3,739.2,78.96,9.0,1.8,0.22,
2023-11-11,Saturday,4679.3,167,57.8,43.5,971.04,80.96,0.4,0.0,0.3,
2023-11-12,Sunday,3933.6,132,39.3,36.6,660.24,100.09,5.2,0.0,0.62,
2023-11-13,Monday,1754.1,65,23.9,16.3,401.52,73.39,6.2,0.0,0.24,
2023-11-14,Tuesday,2146.6,72,31.4,19.9,527.52,68.36,10.4,4.1,0.08,
2023-11-15,Wednesday,2486.1,76,31.8,23.1,534.24,78.18,8.5,0.0,0.35,
2023-11-16,Thursday,2865.0,99,40.4,26.6,678.72,70.92,5.1,0.0,0.21,
2023-11-17,Friday,4495.8,137,46.1,41.8,774.48,97.52,4.8,3.2,0.0,
2023-11-18,Saturday,3725.8,120,53.9,34.6,905.52,69.12,5.1,2.2,0.36,
2023-11-19,Sunday,2854.1,115,39.3,26.5,660.24,72.62,10.6,0.0,0.25,
2023-11-20,Monday,2071.9,63,25.3,19.3,425.04,81.89,4.3,3.7,0.09,
2023-11-21,Tuesday,2673.5,74,29.4,24.8,493.92,90.94,4.6,0.0,0.3,
2023-11-22,Wednesday,2567.2,72,29.6,23.9,497.28,86.73,6.5,3.3,0.06,
2023-11-23,Thursday,2331.8,94,40.6,21.7,682.08,57.43,4.9,7.3,0.0,
2023-11-24,Friday,2980.0,105,49.0,27.7,823.2,60.82,4.6,1.9,0.27,
2023-11-25,Saturday,4722.2,165,50.8,43.9,853.44,92.96,1.5,0.0,0.64,
2023-11-26,Sunday,2792.9,102,41.7,26.0,700.56,66.98,4.9,2.9,0.29,
2023-11-27,Monday,1504.3,52,25.6,14.0,430.08,58.76,3.4,0.0,0.43,
2023-11-28,Tuesday,2375.3,83,27.7,22.1,465.36,85.75,8.5,0.0,0.16,
2023-11-29,Wednesday,2651.9,94,29.4,24.6,493.92,90.2,6.7,0.0,0.34,
2023-11-30,Thursday,2552.1,82,35.0,23.7,588.0,72.92,4.5,3.3,0.03,
2023-12-01,Friday,4878.5,162,52.2,45.3,876.96,93.46,6.6,0.8,0.4,
2023-12-02,Saturday,3364.9,117,59.4,31.3,997.92,56.65,3.2,5.3,0.05,
2023-12-03,Sunday,2523.3,105,43.6,23.4,732.48,57.87,7.6,0.0,0.35,
2023-12-04,Monday,1878.9,67,28.4,17.5,477.12,66.16,4.1,0.0,0.33,
2023-12-05,Tuesday,1611.2,59,30.8,15.0,517.44,52.31,5.9,7.7,0.0,
2023-12-06,Wednesday,2871.1,101,36.2,26.7,608.16,79.31,-0.2,0.0,0.16,
2023-12-07,Thursday,3163.4,105,39.3,29.4,660.24,80.49,5.0,0.0,0.41,
2023-12-08,Friday,3890.4,135,50.1,36.2,841.68,77.65,-1.6,0.0,0.17,
2023-12-09,Saturday,4094.2,132,61.8,38.0,1038.24,66.25,-2.8,0.0,0.2,
2023-12-10,Sunday,3603.8,118,44.1,33.5,740.88,81.72,2.6,0.0,0.31,
2023-12-11,Monday,1580.0,58,25.7,14.7,431.76,61.48,0.6,0.0,0.26,
2023-12-12,Tuesday,1651.7,69,26.5,15.3,445.2,62.33,3.9,1.2,0.31,
2023-12-13,Wednesday,3113.0,92,37.4,28.9,628.32,83.24,10.5,0.8,0.43,
2023-12-14,Thursday,3052.1,87,39.6,28.4,665.28,77.07,0.6,0.0,0.37,
2023-12-15,Friday,4025.1,157,56.5,37.4,949.2,71.24,1.2,6.9,0.02,
2023-12-16,Saturday,4126.3,130,53.6,38.3,900.48,76.98,3.8,4.4,0.13,
2023-12-17,Sunday,3564.1,104,40.8,33.1,685.44,87.36,4.6,0.0,0.45,
2023-12-18,Monday,1688.8,63,32.1,15.7,539.28,52.61,2.4,0.0,0.12,
2023-12-19,Tuesday,2266.0,76,31.2,21.1,524.16,72.63,2.2,0.0,0.39,
2023-12-20,Wednesday,3067.7,100,34.3,28.5,576.24,89.44,5.1,0.0,0.23,
2023-12-21,Thursday,3571.2,109,34.3,33.2,576.24,104.12,4.4,2.5,0.07,
2023-12-22,Friday,4254.3,129,55.1,39.5,925.68,77.21,-0.6,0.0,0.34,
2023-12-23,Saturday,4000.8,145,54.4,37.2,913.92,73.54,2.4,0.0,0.3,
2023-12-24,Sunday,0.0,0,0.0,0.0,0.0,,2.7,7.8,0.02,Gesloten
2023-12-25,Monday,2146.2,72,25.9,19.9,435.12,82.86,-0.8,6.6,0.15,Eerste Kerstdag
2023-12-26,Tuesday,2929.6,101,29.6,27.2,497.28,98.97,3.3,0.5,0.03,Tweede Kerstdag
2023-12-27,Wednesday,2658.8,80,35.8,24.7,601.44,74.27,-0.3,0.0,0.33,
2023-12-28,Thursday,2601.7,81,41.6,24.2,698.88,62.54,5.5,1.0,0.53,
2023-12-29,Friday,2803.6,89,49.4,26.1,829.92,56.75,3.0,3.0,0.3,
2023-12-30,Saturday,4261.2,165,59.8,39.6,1004.64,71.26,2.6,0.0,0.52,
2023-12-31,Sunday,2081.8,71,44.7,19.3,750.96,46.57,0.4,0.0,0.36,Oudejaarsavond
2024-01-01,Monday,0.0,0,0.0,0.0,0.0,,1.9,0.0,0.17,Gesloten
2024-01-02,Tuesday,1631.86,53,24.3,15.2,408.24,67.15,-4.2,0.0,0.2,
2024-01-03,Wednesday,2094.31,63,30.3,19.5,509.04,69.12,-1.4,4.4,0.21,
2024-01-04,Thursday,2347.14,67,31.5,21.8,529.2,74.51,3.3,3.0,0.31,
2024-01-05,Friday,2463.97,82,42.1,22.9,707.28,58.53,-4.7,0.0,0.25,
2024-01-06,Saturday,3110.67,103,51.3,28.9,861.84,60.64,4.8,5.9,0.01,
2024-01-07,Sunday,2005.47,73,35.2,18.6,591.36,56.97,-3.5,0.0,0.37,
2024-01-08,Monday,1203.87,44,26.9,11.2,451.92,44.75,4.5,0.0,0.13,
2024-01-09,Tuesday,1396.54,44,23.8,13.0,399.84,58.68,-0.7,0.0,0.3,
2024-01-10,Wednesday,2186.29,63,31.2,20.3,524.16,70.07,4.5,0.0,0.54,
2024-01-11,Thursday,2721.94,76,32.0,25.3,537.6,85.06,2.4,1.7,0.53,
2024-01-12,Friday,2580.05,85,46.7,24.0,784.56,55.25,-2.9,4.4,0.11,
2024-01-13,Saturday,4144.81,113,52.5,38.5,882.0,78.95,6.0,0.0,0.57,
2024-01-14,Sunday,1994.21,63,39.5,18.5,663.6,50.49,6.6,3.1,0.12,
2024-01-15,Monday,1656.04,45,26.7,15.4,448.56,62.02,1.8,0.0,0.24,
2024-01-16,Tuesday,1471.03,51,26.6,13.7,446.88,55.3,1.1,4.8,0.0,
2024-01-17,Wednesday,2021.88,55,31.0,18.8,520.8,65.22,1.5,0.0,0.46,
2024-01-18,Thursday,1570.25,54,31.6,14.6,530.88,49.69,-1.1,8.8,0.0,
2024-01-19,Friday,3593.58,102,49.1,33.4,824.88,73.19,5.5,4.7,0.39,
2024-01-20,Saturday,2721.64,97,51.2,25.3,860.16,53.16,0.3,0.0,0.38,
2024-01-21,Sunday,2427.71,83,35.8,22.6,601.44,67.81,1.9,0.0,0.37,
2024-01-22,Monday,1077.07,43,18.4,10.0,309.12,58.54,-0.5,0.0,0.12,
2024-01-23,Tuesday,1735.11,57,26.7,16.1,448.56,64.99,0.1,0.0,0.53,
2024-01-24,Wednesday,1822.63,56,28.8,16.9,483.84,63.29,-2.0,7.5,0.0,
2024-01-25,Thursday,2014.38,57,33.8,18.7,567.84,59.6,6.1,12.7,0.0,
2024-01-26,Friday,2737.35,95,43.3,25.4,727.44,63.22,1.7,0.0,0.07,
2024-01-27,Saturday,3450.31,108,51.4,32.1,863.52,67.13,5.3,0.0,0.46,
2024-01-28,Sunday,2892.24,81,39.6,26.9,665.28,73.04,2.3,7.9,0.07,
2024-01-29,Monday,1134.72,43,23.8,10.5,399.84,47.68,0.0,0.0,0.27,
2024-01-30,Tuesday,1787.29,51,29.5,16.6,495.6,60.59,1.2,1.8,0.26,
2024-01-31,Wednesday,2507.22,70,28.0,23.3,470.4,89.54,0.5,0.0,0.39,
2024-02-01,Thursday,3026.68,96,35.0,28.1,588.0,86.48,2.4,0.0,0.46,
2024-02-02,Friday,3665.53,124,41.3,34.1,693.84,88.75,1.2,0.0,0.36,
2024-02-03,Saturday,4990.95,144,47.6,46.4,799.68,104.85,1.5,0.0,0.55,
2024-02-04,Sunday,3133.98,94,39.4,29.1,661.92,79.54,-1.9,0.0,0.31,
2024-02-05,Monday,1959.77,57,24.0,18.2,403.2,81.66,-0.0,3.9,0.07,
2024-02-06,Tuesday,2749.8,73,32.5,25.6,546.0,84.61,7.9,0.0,0.29,
2024-02-07,Wednesday,2288.98,77,30.2,21.3,507.36,75.79,0.5,0.0,0.03,
2024-02-08,Thursday,2358.93,79,33.0,21.9,554.4,71.48,-0.7,6.7,0.0,
2024-02-09,Friday,3876.66,112,44.3,36.0,744.24,87.51,3.9,9.0,0.02,
2024-02-10,Saturday,4763.27,177,53.1,44.3,892.08,89.7,7.3,0.0,0.38,
2024-02-11,Sunday,2299.34,87,39.2,21.4,658.56,58.66,-1.8,5.8,0.0,
2024-02-12,Monday,1576.47,51,25.5,14.7,428.4,61.82,2.3,8.0,0.0,
2024-02-13,Tuesday,2327.04,58,25.6,21.6,430.08,90.9,1.0,7.6,0.0,
2024-02-14,Wednesday,2405.86,68,32.0,22.4,537.6,75.18,-2.5,9.8,0.0,
2024-02-15,Thursday,2577.61,88,37.7,24.0,633.36,68.37,5.5,4.2,0.2,
2024-02-16,Friday,3409.65,104,46.8,31.7,786.24,72.86,3.2,0.0,0.43,
2024-02-17,Saturday,3463.47,105,50.3,32.2,845.04,68.86,3.6,0.0,0.25,
2024-02-18,Sunday,3244.71,95,35.1,30.2,589.68,92.44,1.0,4.3,0.24,
2024-02-19,Monday,1426.47,48,24.5,13.3,411.6,58.22,5.0,0.0,0.57,
2024-02-20,Tuesday,2002.28,67,23.9,18.6,401.52,83.78,1.9,0.0,0.29,
2024-02-21,Wednesday,2417.68,79,26.4,22.5,443.52,91.58,3.2,0.1,0.43,
2024-02-22,Thursday,2986.6,96,32.8,27.8,551.04,91.05,0.2,0.0,0.15,
2024-02-23,Friday,4508.76,140,42.6,41.9,715.68,105.84,-0.0,0.0,0.1,
2024-02-24,Saturday,4545.28,145,53.8,42.2,903.84,84.48,8.2,0.0,0.42,
2024-02-25,Sunday,2843.8,91,39.0,26.4,655.2,72.92,2.4,0.0,0.35,
2024-02-26,Monday,1250.44,49,24.7,11.6,414.96,50.63,5.1,5.9,0.07,
2024-02-27,Tuesday,1562.37,61,24.8,14.5,416.64,63.0,4.1,0.0,0.27,
2024-02-28,Wednesday,2686.92,79,32.0,25.0,537.6,83.97,2.9,0.0,0.31,
2024-02-29,Thursday,1999.6,70,35.2,18.6,591.36,56.81,2.8,0.0,0.44,
2024-03-01,Friday,3640.36,127,50.6,33.8,850.08,71.94,6.5,0.0,0.55,
2024-03-02,Saturday,4833.09,136,60.6,44.9,1018.08,79.75,3.7,0.0,0.32,
2024-03-03,Sunday,2920.25,105,42.4,27.1,712.32,68.87,4.3,2.3,0.03,
2024-03-04,Monday,1911.69,57,26.3,17.8,441.84,72.69,4.9,0.0,0.5,
2024-03-05,Tuesday,2486.8,70,25.9,23.1,435.12,96.02,8.7,5.7,0.13,
2024-03-06,Wednesday,2794.22,77,28.1,26.0,472.08,99.44,7.2,0.0,0.43,
2024-03-07,Thursday,2905.71,88,37.0,27.0,621.6,78.53,6.4,0.0,0.37,
2024-03-08,Friday,3212.0,99,52.2,29.8,876.96,61.53,3.5,5.6,0.35,
2024-03-09,Saturday,4358.83,138,49.7,40.5,834.96,87.7,1.0,0.8,0.31,
2024-03-10,Sunday,4410.08,126,33.4,41.0,561.12,132.04,8.6,0.0,0.41,
2024-03-11,Monday,1840.8,63,26.2,17.1,440.16,70.26,8.7,0.0,0.12,
2024-03-12,Tuesday,2117.62,74,29.1,19.7,488.88,72.77,5.3,0.0,0.27,
2024-03-13,Wednesday,2585.76,75,29.7,24.0,498.96,87.06,7.6,2.1,0.15,
2024-03-14,Thursday,3560.27,114,38.6,33.1,648.48,92.23,8.5,0.0,0.34,
2024-03-15,Friday,3621.41,118,53.1,33.7,892.08,68.2,8.8,4.2,0.18,
2024-03-16,Saturday,5732.24,163,50.0,53.3,840.0,114.64,9.2,0.0,0.25,
2024-03-17,Sunday,3166.16,107,38.7,29.4,650.16,81.81,4.9,0.0,0.56,
2024-03-18,Monday,1886.67,58,24.7,17.5,414.96,76.38,11.4,0.0,0.21,
2024-03-19,Tuesday,2685.89,80,27.6,25.0,463.68,97.31,2.7,0.0,0.29,
2024-03-20,Wednesday,2720.48,86,32.2,25.3,540.96,84.49,9.5,5.2,0.11,
2024-03-21,Thursday,2965.9,100,37.4,27.6,628.32,79.3,8.5,0.0,0.19,
2024-03-22,Friday,4662.74,145,44.2,43.3,742.56,105.49,9.8,0.0,0.41,
2024-03-23,Saturday,4689.74,157,51.8,43.6,870.24,90.54,13.2,0.0,0.42,
2024-03-24,Sunday,3511.28,106,43.0,32.6,722.4,81.66,12.1,2.9,0.16,
2024-03-25,Monday,2036.81,64,23.6,18.9,396.48,86.31,3.8,8.3,0.16,
2024-03-26,Tuesday,2019.94,69,23.9,18.8,401.52,84.52,2.2,0.0,0.35,
2024-03-27,Wednesday,2773.07,92,32.1,25.8,539.28,86.39,10.3,0.0,0.38,
2024-03-28,Thursday,2931.6,91,37.5,27.2,630.0,78.18,4.6,0.0,0.23,
2024-03-29,Friday,3223.48,116,44.7,30.0,750.96,72.11,8.0,0.0,0.14,
2024-03-30,Saturday,4015.59,141,61.4,37.3,1031.52,65.4,10.8,5.3,0.0,
2024-03-31,Sunday,3354.1,133,41.6,31.2,698.88,80.63,3.0,0.0,0.3,Eerste Paasdag
2024-04-01,Monday,2040.53,69,25.7,19.0,431.76,79.4,1.7,1.7,0.2,Tweede Paasdag
2024-04-02,Tuesday,2742.67,83,27.8,25.5,467.04,98.66,9.4,0.0,0.44,
2024-04-03,Wednesday,2248.06,65,32.1,20.9,539.28,70.03,8.9,1.1,-0.0,
2024-04-04,Thursday,2409.95,90,37.5,22.4,630.0,64.27,8.1,0.6,0.17,
2024-04-05,Friday,3321.17,119,50.0,30.9,840.0,66.42,9.1,0.0,0.12,Kaasmarkt
2024-04-06,Saturday,3831.09,123,58.3,35.6,979.44,65.71,6.4,0.0,0.51,
2024-04-07,Sunday,2591.6,88,42.5,24.1,714.0,60.98,4.5,0.0,0.27,
2024-04-08,Monday,1590.66,47,26.0,14.8,436.8,61.18,8.9,0.0,0.28,
2024-04-09,Tuesday,1627.67,54,26.9,15.1,451.92,60.51,6.5,0.0,0.21,
2024-04-10,Wednesday,2529.06,79,29.9,23.5,502.32,84.58,4.5,0.0,0.45,
2024-04-11,Thursday,2760.11,102,37.0,25.6,621.6,74.6,11.5,0.0,0.29,
2024-04-12,Friday,3991.8,139,48.8,37.1,819.84,81.8,9.8,7.4,0.0,Kaasmarkt
2024-04-13,Saturday,3919.46,139,53.6,36.4,900.48,73.12,11.5,0.0,0.09,
2024-04-14,Sunday,3999.28,134,35.8,37.2,601.44,111.71,7.2,0.0,0.49,
2024-04-15,Monday,1695.19,62,25.3,15.8,425.04,67.0,8.4,0.0,0.39,
2024-04-16,Tuesday,1811.89,58,30.4,16.8,510.72,59.6,7.4,5.3,0.15,
2024-04-17,Wednesday,3845.72,106,32.7,35.7,549.36,117.61,7.9,0.0,0.5,
2024-04-18,Thursday,3207.88,102,31.5,29.8,529.2,101.84,11.5,4.8,0.08,
2024-04-19,Friday,5003.84,156,42.8,46.5,719.04,116.91,8.5,0.0,0.32,Kaasmarkt
2024-04-20,Saturday,4796.41,173,54.2,44.6,910.56,88.49,12.3,4.7,0.2,
2024-04-21,Sunday,3346.33,122,41.3,31.1,693.84,81.02,12.4,0.0,0.4,
2024-04-22,Monday,2912.91,89,28.5,27.1,478.8,102.21,18.0,0.0,0.81,
2024-04-23,Tuesday,2589.33,75,26.9,24.1,451.92,96.26,7.2,0.0,0.35,
2024-04-24,Wednesday,1985.99,68,35.0,18.5,588.0,56.74,14.6,21.2,0.0,
2024-04-25,Thursday,3856.87,121,31.7,35.8,532.56,121.67,11.6,0.0,0.43,
2024-04-26,Friday,3772.6,146,47.8,35.1,803.04,78.92,12.0,13.8,0.0,Kaasmarkt
2024-04-27,Saturday,6838.62,248,53.4,63.6,897.12,128.06,7.6,0.0,0.34,Koningsdag
2024-04-28,Sunday,3203.4,109,36.2,29.8,608.16,88.49,10.9,0.8,0.53,
2024-04-29,Monday,2850.33,86,26.6,26.5,446.88,107.16,14.9,0.0,0.4,
2024-04-30,Tuesday,2632.71,81,26.2,24.5,440.16,100.49,12.4,0.0,0.32,
2024-05-01,Wednesday,3447.2,100,30.7,32.0,515.76,112.29,13.0,1.9,0.46,
2024-05-02,Thursday,3131.08,105,36.5,29.1,613.2,85.78,12.0,6.5,0.0,
2024-05-03,Friday,5946.53,191,46.4,55.3,779.52,128.16,16.8,5.2,0.12,Kaasmarkt
2024-05-04,Saturday,4102.85,149,56.9,38.1,955.92,72.11,13.1,0.0,0.52,
2024-05-05,Sunday,4194.42,147,42.8,39.0,719.04,98.0,6.3,0.0,0.41,Bevrijdingsdag
2024-05-06,Monday,2103.31,79,29.9,19.5,502.32,70.34,11.3,0.0,0.2,
2024-05-07,Tuesday,2685.02,86,26.0,25.0,436.8,103.27,7.3,0.0,0.44,
2024-05-08,Wednesday,2799.64,96,30.6,26.0,514.08,91.49,3.3,8.0,0.0,
2024-05-09,Thursday,4311.38,152,36.3,40.1,609.84,118.77,12.2,0.0,0.18,Hemelvaartsdag
2024-05-10,Friday,6726.59,248,50.9,62.5,855.12,132.15,18.3,0.0,0.84,Kaasmarkt
2024-05-11,Saturday,5447.52,205,51.8,50.6,870.24,105.16,14.3,6.0,0.43,
2024-05-12,Sunday,3267.58,117,42.5,30.4,714.0,76.88,10.5,0.0,0.21,
2024-05-13,Monday,3370.79,90,23.9,31.3,401.52,141.04,11.4,0.0,0.3,
2024-05-14,Tuesday,3233.21,110,27.9,30.0,468.72,115.89,18.2,6.8,0.23,
2024-05-15,Wednesday,3816.67,124,29.8,35.5,500.64,128.08,15.2,2.0,0.8,
2024-05-16,Thursday,4659.08,161,33.8,43.3,567.84,137.84,14.9,0.0,0.88,
2024-05-17,Friday,6932.83,242,46.7,64.4,784.56,148.45,14.7,0.0,1.0,Kaasmarkt
2024-05-18,Saturday,5065.69,179,47.4,47.1,796.32,106.87,15.2,0.0,0.74,
2024-05-19,Sunday,4886.85,168,43.2,45.4,725.76,113.12,17.7,0.0,0.46,
2024-05-20,Monday,3018.69,116,28.4,28.1,477.12,106.29,17.1,0.0,0.47,Pinksteren
2024-05-21,Tuesday,3704.09,107,31.9,34.4,535.92,116.12,16.1,0.0,0.81,
2024-05-22,Wednesday,3664.76,110,31.8,34.1,534.24,115.24,12.2,0.0,0.53,
2024-05-23,Thursday,3513.3,121,36.3,32.6,609.84,96.79,17.3,17.9,0.26,
2024-05-24,Friday,6749.06,217,45.2,62.7,759.36,149.32,13.6,0.0,0.27,Kaasmarkt
2024-05-25,Saturday,6209.12,207,57.5,57.7,966.0,107.98,19.4,0.0,1.0,
2024-05-26,Sunday,3829.92,137,38.4,35.6,645.12,99.74,11.9,0.0,0.2,
2024-05-27,Monday,3156.48,98,27.0,29.3,453.6,116.91,15.7,0.0,1.0,
2024-05-28,Tuesday,3390.17,95,27.8,31.5,467.04,121.95,16.2,0.0,0.76,
2024-05-29,Wednesday,3286.62,95,31.0,30.5,520.8,106.02,12.1,4.8,0.2,
2024-05-30,Thursday,4219.88,149,38.8,39.2,651.84,108.76,21.9,0.0,1.0,
2024-05-31,Friday,6793.38,235,45.2,63.1,759.36,150.3,21.2,0.0,0.8,Kaasmarkt
2024-06-01,Saturday,6218.45,219,60.9,57.8,1023.12,102.11,15.1,0.0,0.99,
2024-06-02,Sunday,4930.77,175,40.7,45.8,683.76,121.15,19.2,1.2,0.49,
2024-06-03,Monday,3629.96,117,26.9,33.7,451.92,134.94,18.0,0.0,0.86,
2024-06-04,Tuesday,3082.96,100,28.7,28.6,482.16,107.42,8.6,0.0,0.48,
2024-06-05,Wednesday,4152.29,147,36.0,38.6,604.8,115.34,17.8,0.0,1.0,
2024-06-06,Thursday,4978.86,162,35.9,46.3,603.12,138.69,16.9,1.7,1.0,
2024-06-07,Friday,8489.38,283,52.2,78.9,876.96,162.63,17.5,0.0,0.91,Kaasmarkt
2024-06-08,Saturday,5763.53,184,48.0,53.6,806.4,120.07,13.8,0.0,0.22,
2024-06-09,Sunday,4838.2,160,46.7,45.0,784.56,103.6,16.5,6.0,0.92,
